"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sprint 2","0","Creación de Sub-Actividad para una etapa","4","0","","0"
"0","Sprint 4","0","Modificación de envío de alertas o notificación","6","0","","0"
"0","Sprint 4","0","Creación de notificación automática para actividades y subactividades","32","0","","0"
"0","Sprint 2","0","Configurar fechas por etapas","7","0","","0"
"0","Sprint 2","0","Administrar Actividades - Consulta de Actividades","13","0","","0"
"0","Sprint 1","0","Autenticación de Usuarios mediante Login","5","0","","0"
"0","Sprint 3","0","Administrar Pregunta por actividad o subactividad","8","0","","0"
"0","Sprint 2","0","Modificación de sub - actividad para una actividad","12","0","","0"
"0","Sprint 1","0","Creación de etapa del proceso electoral","5","0","","0"
"0","Sprint 2","0","Modificación de Actividad por etapa","11","0","","0"
"0","Sprint 1","0","Modificación de etapa del proceso","7","0","","0"
"0","Sprint 2","0","Visualizar Subactividades asociadas a una Actividad","4","0","","0"
"0","Sprint 2","0","Creación de pregunta por actividad o subactividad","19","0","","0"
"0","Sprint 2","0","Cargue de Archivo de Agrupaciones Políticas","7","0","","0"
"0","Sprint 1","0","Cargue Inicial de Archivo Jurados","7","0","","0"
"0","Sprint 3","0","Eliminar pregunta por actividad o subactividad","4","0","","0"
"0","Sprint 3","0","Creación de envío de alertas o notificación","14","0","","0"
"0","Sprint 3","0","Mostrar perfil de usuario autenticado","5","0","","0"
"0","Sprint 2","0","Eliminar etapa del proceso electoral","3","0","","0"
"0","Sprint 3","0","Modificación de pregunta por actividad o subactividad","6","0","","0"
"0","Sprint 2","0","Creación de Actividad para una etapa","4","0","","0"
"0","Sprint 2","0","Eliminar actividad de una etapa","2","0","","0"
"0","Sprint 2","0","Eliminar sub - actividad para una actividad","4","0","","0"
"0","Sprint 3","0","Administrar envío de alertas o notificaciones - Consulta de alertas o notificaciones","5","0","","0"
"0","Sprint 1","0","Administrar Etapa del Proceso Electoral","6","0","","0"
"0","Sprint 1","0","Recuperación de Contraseña desde Login Web","2","0","","0"
